id;state;delivery_state;prep_time;delivery_time;delivery_details
1;IN_PROGRESS;IN_PROGRESS;98425;29406;yellow
2;IN_PROGRESS;WAITING_RESTAURANT;77072;38077;array Executive Configuration
3;CANCELED;DONE;56574;5862;Architect violet reboot
4;CANCELED;IN_PROGRESS;21780;89989;Mouse EXE Zambian Kwacha
5;IN_PROGRESS;IN_PROGRESS;52098;5375;ROI
6;IN_PROGRESS;WAITING_DELIVERER;78999;78904;Soap
7;DONE;IN_PROGRESS;81450;45969;copy withdrawal
8;IN_PROGRESS;IN_PROGRESS;88269;32879;Home Loan Account Intelligent Steel Gloves green
9;IN_PROGRESS;WAITING_RESTAURANT;7739;81273;Delaware
10;IN_PROGRESS;WAITING_DELIVERER;1293;74031;matrices programming array
