id;current_position;transport_type;status
1;Vista open-source Grocery;Borders Stravenue Berkshire;INACTIVE
2;installation Berkshire;schemas;INACTIVE
3;Sharable Clothing;modular;INACTIVE
4;Tennessee;bypassing customized;ACTIVE
5;transmitter Credit Card Account bluetooth;Savings Account;INACTIVE
6;Small Chicken Botswana;revolutionary Awesome Shirt;ACTIVE
7;panel Officer streamline;Stravenue recontextualize;INACTIVE
8;B2B;generate Directives;ACTIVE
9;cross-media Coordinator;wireless;INACTIVE
10;Jewelery Orchard;Savings Account Generic Steel Keyboard Rubber;INACTIVE
